,city,price,rating,store,title,ulasan
0,Jakarta Selatan,7.499.000,4.9,"
Kedai Gadget
",Samsung Galaxy Note 9 Dual Sim SEIN Ram 6GB Internal 128GB Garansi Resmi Samsung Indonesia Fullset Mulus Muraaah Berbonus,7
1,Sukoharjo,26.500.000,0,"
PEYOK Social Club
",iPhone 11 Pro & Pro Max,0
2,Indramayu,2.050.000,5.0,"
muhammad khaerul
",SONY XZ GLOBAL NEW GARANSI 1 TAHUN TUKAR UNIT BUKAN SERVICE DIJAMIN AMANAH,2
3,Indramayu,3.200.000,2.0,"
muhammad khaerul
",SONY XZS GLOBAL NEW GARANSI 1 TAHUN TUKAR UNIT BUKAN SERVICE SEGEL BOX,2
4,Kab. Cirebon,1.616.000,4.6,"
COMPLETE SELULAR OFFICIAL
",Samsung Galaxy A10,28
5,Lubuklinggau,1.125.000,0,"
erickhilz86
",realme c1 ram 2gb internal 16gb fullset bawwan pabrik,0
6,Kab. Cirebon,3.125.000,4.6,"
COMPLETE SELULAR OFFICIAL
",Samsung Galaxy A50 4GB,28
7,Kab. Cirebon,3.770.000,4.7,"
COMPLETE SELULAR OFFICIAL
",Samsung Galaxy A50 6GB,3
8,Jakarta Timur,1.850.000,4.8,"
Official FSTORE
",Realme 3,146
9,Jakarta Timur,1.850.000,4.9,"
Official FSTORE
",OPPO Realme 3,47
10,Jakarta Timur,2.050.000,5.0,"
Official FSTORE
",Realme 3 Ram 4gb,3
11,Jakarta Timur,2.050.000,4.9,"
Official FSTORE
",OPPO Realme 3 Ram 4gb,49
12,Malang,7.000.000,0,"
Naisyaturahma 07
",dijual Huawei P30 Pro 8Gb-256Gb Dual Sim Bekas Fullset Original,0
13,Malang,7.170.000,0,"
Naisyaturahma 07
",dijual Samsung Galaxy S10 Plus 128Gb SEIN Dual Sim Bekas Fullset Mulus,0
14,Jakarta Timur,1.490.000,4.9,"
Official FSTORE
",OPPO Realme C2 Ram 3GB,12
15,Jakarta Timur,1.490.000,4.9,"
Official FSTORE
",Realme C2 Ram 3GB,18
16,Jakarta Timur,1.305.000,4.8,"
Official FSTORE
",REALME C2,24
17,Jakarta Timur,1.305.000,4.8,"
Official FSTORE
",OPPO REALME C2,78
18,Tangerang,2.075.000,4.8,"
Gadget Soulmate
",realme 3 ram 4gb internal 64gb,35
19,Tangerang,1.315.000,4.7,"
Gadget Soulmate
",realme c2 garansi resmi by oppo,13
20,Jakarta Timur,1.490.000,5.0,"
Official FSTORE
",REALME C2 RAM 3GB GARANSI RESMI,9
21,Tangerang,2.585.000,4.8,"
Gadget Soulmate
",realme 3 pro ram 4gb internal 64gb garansi resmi,14
22,Tangerang,1.500.000,4.8,"
Gadget Soulmate
",realme c2 ram 3gb internal 32gb,44
23,Tangerang,3.199.000,5.0,"
Gadget Soulmate
",realme 3 pro ram 6gb internal 128gb resmi,16
24,Tangerang,2.750.000,5.0,"
Gadget Soulmate
",realme 3 pro 6gb internal 64gb,4
25,Tangerang,1.840.000,5.0,"
Gadget Soulmate
",realme 3 ram 3gb internal 64gb garansi resmi by oppo,1
26,Tangerang,2.750.000,5.0,"
Gadget Soulmate
",realme 5 pro 4gb rom 128gb,1
27,Jakarta Barat,1.139.000,0,"
XIAOMI SHOP
",xiaomi redmi 4x ram 2gb rom 16gb original bergaransi,0
28,Jakarta Barat,1.175.000,4.5,"
XIAOMI SHOP
",xiaomi redmi 4x ram 3gb rom 32gb bergaransi,8
29,Jakarta Barat,1.650.000,4.9,"
XIAOMI SHOP
",xiaomi redmi 4x ram 4gb 64gb bergaransi,14
